check_date,symbol,bounce_probability,threshold_used,distance_to_threshold,live_signal,regime,close_price,data_source_status,signal_blocked_reason,validation_period
2026-06-12,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,513.05999756,real_market_data,,forward_only
2026-06-12,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,292.95001221,real_market_data,,forward_only
2026-06-12,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,721.34002686,real_market_data,,forward_only
2026-06-12,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,741.75000000,real_market_data,,forward_only
2026-06-15,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,518.44000244,real_market_data,,forward_only
2026-06-15,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,294.64001465,real_market_data,,forward_only
2026-06-15,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,744.00000000,real_market_data,,forward_only
2026-06-15,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,754.83000000,real_market_data,,forward_only
2026-06-16,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,521.44000244,real_market_data,,forward_only
2026-06-16,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,292.07998657,real_market_data,,forward_only
2026-06-16,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,729.85998535,real_market_data,,forward_only
2026-06-16,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,750.33001709,real_market_data,,forward_only
2026-06-17,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,516.29998779,real_market_data,,forward_only
2026-06-17,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,289.88000488,real_market_data,,forward_only
2026-06-17,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,722.51000977,real_market_data,,forward_only
2026-06-17,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,740.96002197,real_market_data,,forward_only
2026-06-18,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,515.52001953,real_market_data,,forward_only
2026-06-18,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,295.58999634,real_market_data,,forward_only
2026-06-18,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,740.61999512,real_market_data,,forward_only
2026-06-18,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,746.73999023,real_market_data,,forward_only
2026-06-22,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,517.08001709,real_market_data,,forward_only
2026-06-22,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,298.17999268,real_market_data,,forward_only
2026-06-22,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,737.95001221,real_market_data,,forward_only
2026-06-22,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,744.39001465,real_market_data,,forward_only
2026-06-23,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,516.61999512,real_market_data,,forward_only
2026-06-23,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,295.32000732,real_market_data,,forward_only
2026-06-23,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,713.65002441,real_market_data,,forward_only
2026-06-23,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,733.58001709,real_market_data,,forward_only
2026-06-24,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,518.52001953,real_market_data,,forward_only
2026-06-24,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,296.69000244,real_market_data,,forward_only
2026-06-24,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,710.61999512,real_market_data,,forward_only
2026-06-24,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,733.23999023,real_market_data,,forward_only
2026-06-25,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,519.26000977,real_market_data,,forward_only
2026-06-25,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,298.91000366,real_market_data,,forward_only
2026-06-25,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,716.38000488,real_market_data,,forward_only
2026-06-25,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,734.29998779,real_market_data,,forward_only
2026-06-26,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,517.75000000,real_market_data,,forward_only
2026-06-26,IWM,0.40434541,0.32534311,-0.07900230,true,liquidity_crunch,299.82998657,real_market_data,,forward_only
2026-06-26,QQQ,0.38471703,0.32534311,-0.05937392,true,liquidity_crunch,706.52000000,real_market_data,,forward_only
2026-06-26,SPY,0.59293002,0.32534311,-0.26758691,true,sideways,728.98999023,real_market_data,,forward_only
2026-06-29,DIA,0.57070947,0.32534311,-0.24536636,true,sideways,521.67999268,real_market_data,,forward_only
